,NPS,Job Relevance,Content Clarity,Learning Effectiveness,Learner Engagement,Trainer Facilitation,Trainer Feedback Quality,Learning Environment,Overall Satisfaction
count,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
mean,9.15527950310559,3.770186335403727,3.5838509316770186,3.6832298136645965,3.770186335403727,3.720496894409938,3.7453416149068324,3.68944099378882,3.7080745341614905
std,0.8913403264969849,0.4220255798670405,0.5869306412513762,0.5052519204373103,0.4220255798670405,0.4771160776507065,0.45110285835923924,0.5029416572118541,0.4560667652986105
min,7.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
25%,9.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0
50%,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
75%,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
max,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
