Age_Group,Participants,Average_NPS,Promoters,Passives,Average_Content_Index,Average_Trainer_Index,Average_Environment_Index,Promoter_Percentage
20-25 (Early Career),58,9.310344827586206,49,9,3.701149425287356,3.810344827586207,3.7413793103448274,84.48275862068965
31-35 (Mid Career),34,9.147058823529411,25,9,3.676470588235294,3.656862745098039,3.6470588235294117,73.52941176470588
40+ (Highly Experienced),8,9.125,6,2,3.708333333333333,3.75,3.75,75.0
26-30 (Young Professional),45,9.044444444444444,34,11,3.6666666666666665,3.7555555555555555,3.6777777777777776,75.55555555555556
36-40 (Senior Professional),16,8.9375,12,4,3.625,3.6666666666666665,3.6875,75.0
